Date,Listing price,Discounted price,Tax amount,Total customer payment,Seller transfer amount,Product name,Product slug,Locale,Status,Customer email,Coupon code
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Sleep Tracker",0dfg-sleeptracker,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Weekly planner",0dfg-weeklyplanner,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Sleep Tracker",0dfg-sleeptracker,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
11/5/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Study tasks",study-tasks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Archive",0dfg-archive,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Notebooks",0dfg-notebooks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Money Tracker",0dfg-moneytracker,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Resource Vault",0dfg-resourcevault,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Tasks Manager",0dfg-tasks,en-US,Succeeded,,
11/4/2025,"$0.00","$0.00","$0.00","$0.00","$0.00","Bad Habits Tracker",0dfg-bad-habits,en-US,Succeeded,,
